Job_ID,Job_Title,Company,Location,Industry,Salary_LPA,Experience_Years,Education,Employment_Type,Work_Mode,Skills_Required,Date_Posted
JOB10038,Operations Analyst,MarketSphere,Pune,IT Services,4.6,0-1,B.Tech/M.Tech,Internship,Hybrid,"Business Analysis, Communication, Data Cleaning, ETL, Excel, Tableau",2026-07-23
JOB10039,Junior Data Analyst,BrightOps,Bengaluru,SaaS,6.3,2-3,B.Com/MBA,Contract,Remote,"Business Analysis, DAX, Excel, Google Sheets, Power BI, Power Query, Python, SQL",2026-06-07
JOB10040,BI Analyst,TechNova Solutions,Delhi NCR,SaaS,6.7,1-2,B.Tech/M.Tech,Full-time,Hybrid,"DAX, Excel, Python, SQL, Tableau",2026-03-28
JOB10041,Reporting Analyst,Quantify Labs,Delhi NCR,Healthcare,6.7,2-3,B.Com/MBA,Internship,Remote,"Business Analysis, DAX, ETL, Excel, Python, SQL, Statistics, Tableau, VLOOKUP/XLOOKUP",2026-04-15
JOB10042,Data Associate,BrightOps,Remote,BPO,3.2,0-1,B.Com/MBA,Internship,Remote,"Data Cleaning, ETL, Power Query, Python, Statistics, Tableau",2026-05-02
JOB10043,Junior Data Analyst,CloudMatrix,Remote,Healthcare,6.2,2-3,B.Com/MBA,Contract,Remote,"Business Analysis, ETL, Excel, Python, SQL, Statistics",2026-02-17
JOB10044,Business Analyst,TechNova Solutions,Pune,Consulting,6.1,2-3,BCA/MCA,Internship,Hybrid,"Business Analysis, ETL, Power BI, SQL, Tableau, VLOOKUP/XLOOKUP",2026-01-12
JOB10045,Business Analyst,InsightWorks,Kolkata,IT Services,6.1,2-3,BCA/MCA,Full-time,Remote,"DAX, Excel, Power BI, Python, SQL, Statistics, Tableau, VLOOKUP/XLOOKUP",2026-05-06
JOB10046,BI Analyst,MarketSphere,Bengaluru,IT Services,5.3,1-2,Statistics/Mathematics,Internship,On-site,"Business Analysis, Communication, Data Cleaning, Excel, Google Sheets, Power Query, Python, SQL",2026-03-20
JOB10047,Reporting Analyst,Quantify Labs,Pune,SaaS,7.3,2-3,B.Tech/M.Tech,Full-time,On-site,"Excel, Google Sheets, Power BI, Python, SQL, VLOOKUP/XLOOKUP",2026-04-15
JOB10048,BI Analyst,DataBridge India,Mumbai,Consulting,7.7,3-5,BCA/MCA,Full-time,On-site,"Communication, Data Cleaning, Excel, Google Sheets, Power Query, SQL",2026-02-27
JOB10049,MIS Executive,MarketSphere,Mumbai,IT Services,7.2,2-3,B.Com/MBA,Internship,Hybrid,"Business Analysis, DAX, ETL, Google Sheets, Power Query, Python, Tableau, VLOOKUP/XLOOKUP",2026-01-21
JOB10050,BI Analyst,DataBridge India,Kolkata,Retail,2.9,0-1,B.Com/MBA,Full-time,Hybrid,"Business Analysis, Communication, Data Cleaning, ETL, Excel, Google Sheets, Power BI, SQL, Tableau",2026-03-13
JOB10051,Junior Data Analyst,BrightOps,Chennai,IT Services,6.2,2-3,B.Com/MBA,Full-time,Hybrid,"Business Analysis, DAX, Excel, Power BI, SQL",2026-07-28
JOB10052,BI Analyst,NextGen Systems,Delhi NCR,SaaS,5.9,0-1,B.Com/MBA,Full-time,On-site,"Business Analysis, DAX, ETL, Excel, Google Sheets, Power Query, SQL, VLOOKUP/XLOOKUP",2026-05-13
JOB10053,BI Analyst,BrightOps,Hyderabad,Retail,6.8,2-3,Any Graduate,Full-time,On-site,"Communication, DAX, Data Cleaning, Excel, Power BI, Python, SQL, Tableau",2026-01-04
JOB10054,Data Associate,BrightOps,Bengaluru,E-commerce,6.3,1-2,B.Com/MBA,Full-time,Remote,"DAX, Data Cleaning, ETL, Power Query, Python, Tableau, VLOOKUP/XLOOKUP",2026-04-27
JOB10055,MIS Executive,MarketSphere,Bengaluru,SaaS,8.4,2-3,BCA/MCA,Contract,Remote,"Communication, ETL, Google Sheets, Power Query, SQL, Statistics, Tableau, VLOOKUP/XLOOKUP",2026-05-31
JOB10056,Data Associate,NextGen Systems,Delhi NCR,SaaS,7.3,2-3,B.Com/MBA,Contract,Remote,"Business Analysis, Communication, DAX, Data Cleaning, Google Sheets, Power Query, Python, Statistics, VLOOKUP/XLOOKUP",2026-01-12
JOB10057,MIS Executive,DataBridge India,Remote,FinTech,3.2,0-1,B.Com/MBA,Contract,Remote,"Business Analysis, Communication, DAX, ETL, Excel, Google Sheets, SQL, Statistics, VLOOKUP/XLOOKUP",2026-04-15
JOB10058,Operations Analyst,FinEdge Analytics,Bengaluru,Healthcare,8.6,2-3,Any Graduate,Contract,On-site,"Communication, DAX, ETL, Excel, Google Sheets, Power Query, SQL, Statistics, VLOOKUP/XLOOKUP",2026-06-25
JOB10059,Business Analyst,RetailPulse,Remote,E-commerce,6.0,1-2,BCA/MCA,Internship,Remote,"Business Analysis, Google Sheets, SQL, Statistics, Tableau",2026-04-06
JOB10060,MIS Executive,FinEdge Analytics,Hyderabad,SaaS,4.5,1-2,B.Tech/M.Tech,Internship,On-site,"Business Analysis, Communication, DAX, Data Cleaning, ETL, Google Sheets, Power BI, Python",2026-06-13
JOB10061,Data Associate,RetailPulse,Mumbai,SaaS,4.9,1-2,Any Graduate,Full-time,Hybrid,"Business Analysis, Communication, DAX, Data Cleaning, Google Sheets, Power Query, Tableau",2026-02-20
JOB10062,Junior Data Analyst,NextGen Systems,Mumbai,Healthcare,6.1,2-3,BCA/MCA,Internship,Hybrid,"Business Analysis, DAX, Data Cleaning, Excel, Google Sheets, Power Query, SQL, Tableau",2026-06-05
JOB10063,MIS Executive,DataBridge India,Bengaluru,Healthcare,4.6,0-1,BCA/MCA,Internship,Hybrid,"DAX, Data Cleaning, ETL, Excel, Power BI, SQL, Statistics, Tableau",2026-04-17
JOB10064,BI Analyst,RetailPulse,Hyderabad,BPO,8.1,2-3,Any Graduate,Contract,On-site,"DAX, Data Cleaning, ETL, Excel, Google Sheets, SQL, Tableau, VLOOKUP/XLOOKUP",2026-08-09
JOB10065,BI Analyst,BrightOps,Bengaluru,BPO,8.8,3-5,Statistics/Mathematics,Full-time,Remote,"Communication, DAX, Excel, Power Query, Python, SQL, Statistics",2026-06-08
JOB10066,Business Analyst,InsightWorks,Remote,Healthcare,7.2,2-3,Statistics/Mathematics,Full-time,Remote,"DAX, Google Sheets, Power BI, SQL, Tableau",2026-01-30
JOB10067,Data Associate,TechNova Solutions,Delhi NCR,BPO,8.9,3-5,BCA/MCA,Contract,Hybrid,"Business Analysis, Communication, DAX, Data Cleaning, Excel, Power Query",2026-03-13
JOB10068,Reporting Analyst,Quantify Labs,Delhi NCR,FinTech,5.9,0-1,BCA/MCA,Internship,Remote,"Communication, Power Query, Python, SQL, Statistics, Tableau, VLOOKUP/XLOOKUP",2026-02-01
JOB10069,Data Analyst,CloudMatrix,Kolkata,BPO,5.5,2-3,BCA/MCA,Internship,On-site,"Data Cleaning, ETL, Excel, Google Sheets, Python, SQL",2026-02-25
JOB10070,BI Analyst,CloudMatrix,Hyderabad,BPO,5.8,1-2,Any Graduate,Full-time,Hybrid,"Communication, ETL, Excel, Power BI, SQL, Statistics",2026-07-22
JOB10071,Data Analyst,CloudMatrix,Hyderabad,IT Services,8.5,3-5,Statistics/Mathematics,Contract,Hybrid,"Business Analysis, Data Cleaning, Excel, SQL, Statistics",2026-05-09
JOB10072,Data Analyst,DataBridge India,Kolkata,Consulting,8.6,3-5,Statistics/Mathematics,Internship,Remote,"Communication, Data Cleaning, ETL, Excel, Google Sheets, SQL, Statistics, Tableau",2026-01-17
JOB10073,Junior Data Analyst,Quantify Labs,Chennai,Retail,6.5,2-3,B.Com/MBA,Internship,On-site,"Communication, Data Cleaning, ETL, Excel, Google Sheets, Power Query, Python, SQL, VLOOKUP/XLOOKUP",2026-03-28
JOB10074,Junior Data Analyst,NextGen Systems,Chennai,E-commerce,7.1,2-3,Statistics/Mathematics,Full-time,Remote,"Communication, DAX, Data Cleaning, Excel, Google Sheets, SQL, VLOOKUP/XLOOKUP",2026-07-10
JOB10075,Junior Data Analyst,Quantify Labs,Bengaluru,Healthcare,8.8,3-5,Any Graduate,Contract,Remote,"Business Analysis, Communication, Data Cleaning, ETL, Excel, Google Sheets, SQL, Statistics",2026-02-09
JOB10076,Junior Data Analyst,FinEdge Analytics,Bengaluru,BPO,7.9,2-3,B.Tech/M.Tech,Full-time,On-site,"Business Analysis, Communication, ETL, Excel, Google Sheets, SQL, Tableau, VLOOKUP/XLOOKUP",2026-03-11
JOB10077,MIS Executive,Quantify Labs,Chennai,BPO,3.2,0-1,BCA/MCA,Contract,Hybrid,"ETL, Excel, Power Query, Python, VLOOKUP/XLOOKUP",2026-04-18
JOB10078,Junior Data Analyst,FinEdge Analytics,Bengaluru,Healthcare,4.2,0-1,Statistics/Mathematics,Full-time,Hybrid,"Communication, DAX, Data Cleaning, Excel, Google Sheets, Power Query, Python, SQL, Tableau",2026-04-17
JOB10079,Operations Analyst,CloudMatrix,Bengaluru,Consulting,8.1,2-3,BCA/MCA,Full-time,Hybrid,"Communication, DAX, Data Cleaning, ETL, Power Query, Python, SQL, Tableau, VLOOKUP/XLOOKUP",2026-01-02
JOB10080,BI Analyst,TechNova Solutions,Delhi NCR,Retail,3.3,0-1,Any Graduate,Contract,On-site,"Business Analysis, Communication, Excel, Power BI, Power Query, Python, SQL, VLOOKUP/XLOOKUP",2026-08-09
JOB10081,Junior Data Analyst,NextGen Systems,Chennai,FinTech,8.7,3-5,B.Com/MBA,Full-time,On-site,"DAX, ETL, Excel, Power BI, Power Query, SQL, Statistics, Tableau",2026-06-26
JOB10082,Operations Analyst,BrightOps,Chennai,Healthcare,3.9,0-1,B.Tech/M.Tech,Contract,Remote,"ETL, Excel, Google Sheets, Power BI, Python, Statistics, VLOOKUP/XLOOKUP",2026-05-16
JOB10083,MIS Executive,Quantify Labs,Pune,SaaS,3.4,0-1,Statistics/Mathematics,Internship,Hybrid,"Business Analysis, Communication, Data Cleaning, ETL, Excel, Power BI",2026-07-17
JOB10084,Junior Data Analyst,Quantify Labs,Delhi NCR,SaaS,5.7,1-2,Any Graduate,Full-time,Hybrid,"DAX, Data Cleaning, ETL, Excel, Google Sheets, SQL, Statistics, Tableau",2026-03-21
JOB10085,BI Analyst,DataBridge India,Bengaluru,IT Services,5.5,0-1,B.Com/MBA,Full-time,Hybrid,"DAX, Data Cleaning, Excel, Google Sheets, Power Query, Python, SQL, Tableau, VLOOKUP/XLOOKUP",2026-05-09
JOB10086,Business Analyst,RetailPulse,Hyderabad,BPO,3.8,0-1,Statistics/Mathematics,Full-time,Remote,"Communication, DAX, Data Cleaning, ETL, Google Sheets, Power BI, Statistics, VLOOKUP/XLOOKUP",2026-04-10
JOB10087,Junior Data Analyst,FinEdge Analytics,Bengaluru,Retail,6.6,2-3,BCA/MCA,Internship,Remote,"Business Analysis, Communication, Data Cleaning, Excel, Power BI, SQL, Statistics, Tableau",2026-03-31
JOB10088,Business Analyst,NextGen Systems,Mumbai,IT Services,9.2,3-5,B.Tech/M.Tech,Contract,On-site,"Business Analysis, Communication, ETL, Excel, Power BI, Power Query, VLOOKUP/XLOOKUP",2026-05-11
JOB10089,Reporting Analyst,BrightOps,Delhi NCR,IT Services,7.8,3-5,B.Tech/M.Tech,Internship,On-site,"Data Cleaning, Excel, Google Sheets, Power BI, Tableau, VLOOKUP/XLOOKUP",2026-08-02
JOB10090,Operations Analyst,Quantify Labs,Hyderabad,Consulting,4.8,1-2,B.Com/MBA,Full-time,Remote,"Communication, DAX, ETL, Google Sheets, Power BI, Power Query, SQL, Statistics, VLOOKUP/XLOOKUP",2026-03-02
JOB10091,Reporting Analyst,RetailPulse,Mumbai,Retail,9.9,3-5,BCA/MCA,Full-time,Remote,"Communication, DAX, Data Cleaning, Google Sheets, Statistics, Tableau",2026-07-19
JOB10092,MIS Executive,DataBridge India,Mumbai,Consulting,5.2,0-1,B.Com/MBA,Internship,On-site,"Business Analysis, Data Cleaning, ETL, Excel, Google Sheets, Tableau, VLOOKUP/XLOOKUP",2026-07-15
JOB10093,Operations Analyst,InsightWorks,Bengaluru,BPO,7.2,1-2,BCA/MCA,Full-time,Hybrid,"Business Analysis, Google Sheets, Power Query, Python, SQL, Statistics, VLOOKUP/XLOOKUP",2026-04-09
JOB10094,Business Analyst,TechNova Solutions,Delhi NCR,Consulting,4.9,1-2,BCA/MCA,Full-time,Remote,"Business Analysis, DAX, Data Cleaning, ETL, Google Sheets, Power BI, SQL",2026-01-21
JOB10095,Operations Analyst,InsightWorks,Bengaluru,FinTech,6.9,2-3,B.Com/MBA,Internship,Remote,"Communication, Data Cleaning, Power Query, Python, SQL",2026-04-28
JOB10096,Data Analyst,NextGen Systems,Pune,FinTech,5.0,1-2,Statistics/Mathematics,Internship,Remote,"Business Analysis, Excel, Power Query, Python, SQL",2026-05-15
JOB10097,Data Analyst,InsightWorks,Chennai,BPO,6.9,3-5,BCA/MCA,Full-time,Hybrid,"Business Analysis, Data Cleaning, ETL, Excel, SQL, Statistics, Tableau, VLOOKUP/XLOOKUP",2026-07-07
JOB10098,Junior Data Analyst,CloudMatrix,Hyderabad,IT Services,9.7,3-5,B.Tech/M.Tech,Contract,Remote,"Business Analysis, Communication, DAX, Excel, Google Sheets, Power BI, SQL, Tableau",2026-01-12
JOB10099,Operations Analyst,NextGen Systems,Remote,Retail,5.5,2-3,B.Com/MBA,Internship,Remote,"Business Analysis, Communication, Google Sheets, SQL, Statistics, Tableau",2026-02-01
JOB10100,Operations Analyst,DataBridge India,Delhi NCR,Consulting,5.8,1-2,B.Tech/M.Tech,Full-time,On-site,"Data Cleaning, Excel, Google Sheets, Power Query, Python, Statistics, Tableau, VLOOKUP/XLOOKUP",2026-06-04
JOB10101,Junior Data Analyst,TechNova Solutions,Mumbai,FinTech,7.2,2-3,B.Com/MBA,Contract,Remote,"DAX, ETL, Excel, Google Sheets, Power BI, SQL, Statistics, Tableau",2026-03-12
JOB10102,MIS Executive,MarketSphere,Kolkata,E-commerce,5.8,1-2,B.Com/MBA,Contract,Hybrid,"Data Cleaning, Excel, Power BI, Power Query, Python, SQL, Statistics, Tableau",2026-01-09
JOB10103,Data Associate,RetailPulse,Bengaluru,FinTech,6.4,1-2,B.Tech/M.Tech,Contract,Remote,"Communication, Excel, Google Sheets, Power BI, Python, SQL, Statistics, Tableau",2026-05-13
JOB10104,Data Associate,NextGen Systems,Pune,BPO,7.4,2-3,Any Graduate,Internship,Remote,"DAX, Data Cleaning, ETL, Excel, Google Sheets, Power BI, Python, SQL",2026-07-27
JOB10105,BI Analyst,Quantify Labs,Mumbai,IT Services,6.6,1-2,B.Tech/M.Tech,Internship,Remote,"Communication, Excel, Google Sheets, Python, SQL, VLOOKUP/XLOOKUP",2026-03-02
JOB10106,Junior Data Analyst,RetailPulse,Remote,FinTech,5.8,1-2,BCA/MCA,Contract,Remote,"Excel, Power Query, SQL, Tableau, VLOOKUP/XLOOKUP",2026-07-16
JOB10107,Data Associate,DataBridge India,Remote,Consulting,5.7,2-3,BCA/MCA,Full-time,Remote,"Communication, DAX, Data Cleaning, ETL, Google Sheets, Power BI, Power Query, SQL, VLOOKUP/XLOOKUP",2026-05-13
JOB10108,Reporting Analyst,DataBridge India,Delhi NCR,E-commerce,8.1,2-3,BCA/MCA,Internship,Remote,"Communication, Excel, Google Sheets, Power BI, Python, Tableau, VLOOKUP/XLOOKUP",2026-05-09
JOB10109,Junior Data Analyst,FinEdge Analytics,Kolkata,SaaS,2.5,0-1,BCA/MCA,Internship,Hybrid,"Business Analysis, Communication, DAX, Data Cleaning, Excel, Python, SQL, Statistics, Tableau",2026-06-14
JOB10110,BI Analyst,NextGen Systems,Remote,BPO,4.8,0-1,B.Com/MBA,Full-time,Remote,"Business Analysis, DAX, ETL, Excel, SQL, Statistics",2026-03-22
JOB10111,Business Analyst,RetailPulse,Delhi NCR,Healthcare,5.8,1-2,BCA/MCA,Contract,Remote,"DAX, Excel, Power BI, Power Query, Python, SQL, Tableau",2026-06-07
JOB10112,Junior Data Analyst,CloudMatrix,Pune,BPO,5.5,1-2,Any Graduate,Full-time,Hybrid,"Business Analysis, DAX, ETL, Excel, Google Sheets, Power Query, Python, SQL, Tableau",2026-03-03
JOB10113,Data Associate,TechNova Solutions,Remote,Retail,6.8,2-3,Any Graduate,Internship,Remote,"Business Analysis, Power BI, Power Query, Statistics, Tableau",2026-04-04
JOB10114,Junior Data Analyst,NextGen Systems,Mumbai,BPO,4.5,0-1,Statistics/Mathematics,Contract,On-site,"Communication, Data Cleaning, Excel, Google Sheets, Power BI, SQL, Tableau, VLOOKUP/XLOOKUP",2026-04-11
JOB10115,Reporting Analyst,BrightOps,Chennai,E-commerce,2.9,0-1,B.Tech/M.Tech,Internship,Hybrid,"Business Analysis, DAX, ETL, Power BI, Statistics, VLOOKUP/XLOOKUP",2026-06-05
JOB10116,MIS Executive,NextGen Systems,Chennai,FinTech,6.9,2-3,B.Com/MBA,Internship,Hybrid,"Business Analysis, Communication, DAX, Data Cleaning, Google Sheets, Power Query, SQL, Tableau, VLOOKUP/XLOOKUP",2026-04-05
JOB10117,Data Analyst,CloudMatrix,Remote,IT Services,8.0,2-3,Statistics/Mathematics,Internship,Remote,"Business Analysis, DAX, Data Cleaning, ETL, Excel, Python, SQL, Statistics, Tableau",2026-02-07
JOB10118,Reporting Analyst,TechNova Solutions,Kolkata,E-commerce,7.1,3-5,Statistics/Mathematics,Full-time,Remote,"Business Analysis, DAX, ETL, Power Query, Python, VLOOKUP/XLOOKUP",2026-08-06
JOB10119,Junior Data Analyst,CloudMatrix,Remote,Consulting,7.7,3-5,Statistics/Mathematics,Contract,Remote,"DAX, Excel, SQL, Statistics, Tableau, VLOOKUP/XLOOKUP",2026-02-19
JOB10120,BI Analyst,NextGen Systems,Mumbai,E-commerce,6.6,1-2,B.Tech/M.Tech,Full-time,Hybrid,"Business Analysis, Communication, DAX, Data Cleaning, Excel, Statistics, Tableau, VLOOKUP/XLOOKUP",2026-07-29
JOB10121,Business Analyst,MarketSphere,Delhi NCR,Healthcare,9.1,3-5,BCA/MCA,Full-time,Remote,"Business Analysis, Communication, ETL, Power BI, Python, SQL, Tableau, VLOOKUP/XLOOKUP",2026-06-07
JOB10122,Reporting Analyst,Quantify Labs,Pune,SaaS,3.3,0-1,BCA/MCA,Contract,Hybrid,"Communication, DAX, Data Cleaning, ETL, Excel, Power BI, SQL",2026-04-15
JOB10123,BI Analyst,RetailPulse,Kolkata,SaaS,4.1,0-1,BCA/MCA,Internship,Hybrid,"Excel, Google Sheets, Power BI, Power Query, SQL, VLOOKUP/XLOOKUP",2026-01-10
JOB10124,Data Analyst,BrightOps,Kolkata,SaaS,6.3,2-3,B.Tech/M.Tech,Full-time,On-site,"DAX, Excel, SQL, Statistics, Tableau",2026-02-04
JOB10125,Junior Data Analyst,RetailPulse,Hyderabad,Retail,8.9,3-5,Statistics/Mathematics,Contract,On-site,"Data Cleaning, Excel, Python, SQL, Statistics, Tableau",2026-06-06
JOB10126,Operations Analyst,NextGen Systems,Bengaluru,Consulting,7.7,1-2,Statistics/Mathematics,Internship,Remote,"DAX, Data Cleaning, Google Sheets, Power Query, Python, SQL, Statistics, Tableau",2026-03-10
JOB10127,Data Analyst,BrightOps,Mumbai,Consulting,7.9,2-3,Any Graduate,Internship,Hybrid,"Communication, DAX, Excel, Power BI, SQL",2026-06-25
JOB10128,Junior Data Analyst,MarketSphere,Pune,FinTech,6.8,1-2,Statistics/Mathematics,Contract,Remote,"DAX, ETL, Excel, Google Sheets, Power BI, Power Query, Statistics, VLOOKUP/XLOOKUP",2026-06-24
